Site Name,UTM X (Easting),UTM Y (Northing)
Lomas gemelas de la U,339940,8357038
Loma los guineales,344691,8356979
Loma de San Juaquincito,338267,8350176
Irachiti 1 (lomita),340692,8362187
Loma de los Tacuarales,346716,8368995
Irachiti 2 (Loma grande),340503,8363314
Los Cafeces,337924,8363125
Quillisa 1,342310,8360379
Tacuarita,342753,8365506
Tatoyeque,347952,8365827
Bali 1,354012,8367627
Bali 2,353894,8367839
Trapiche,345733,8364812
Ibibate,348470,8362799
Santa Fe,351012,8360933
SinaÌ,351850,8360631
MururÈ-urure,351903,8361739
Santa Elena,355264,8358575
Lomita de Benjamin 3,355981,8356408
Loma de Benjamin 1,356159,8356333
Loma de la poza de lo Hochoose,354198,8357302
Loma de ida a los portones,347792,8356755
Loma de la U - Kia aa,352776,8356111
Tambata,355131,8363563
Tutumo 1,353582,8353587
Tutumo 2,353711,8353398
Benjamin 2,356100,8356601
Isla de monte,351031,8357023
Los portones,350407,8356070
Loma 1,331623,8360958
Cerrito,328998,8363198
Cerrito - Loma del puente,329519,8362294
Loma 3,333220,8361490
Loma 4,332926,8360683
